,id,ra,dec,z_spec,z_phot,log_mass,log_sfr,is_mass_clumpy,is_UV_clumpy
164,2257,150.41055,1.7134684,-1.0,1.307,10.37,1.2544755678038713,False,False
165,2262,150.64529,1.7130884,-1.0,1.284,10.24,1.5744132788115583,True,True
166,2271,150.47081,1.7135273,-1.0,1.705,10.83,0.1922886125681202,False,False
167,2280,150.67233,1.7122288,-1.0,0.661,10.47,0.7729081949712717,False,True
168,2289,150.48253,1.7125193,0.7119,0.694,10.44,0.9899834583013992,False,True
169,2296,150.64012,1.7134871,-1.0,1.109,10.62,1.617985302609002,False,False
170,2299,150.42529,1.7130325,-1.0,0.948,10.71,0.2105860249051565,False,False
171,2311,150.65997,1.7141563,-1.0,1.261,10.52,1.6893443827817238,False,True
172,2341,150.67422,1.7138782,-1.0,0.628,10.91,1.0476252775817836,False,True
173,2344,150.69096,1.7153549,-1.0,0.948,10.17,0.3531465462139793,True,True
174,2354,150.48085,1.7156686,-1.0,0.909,9.8,0.6918768225593313,False,True
175,2377,150.40112,1.7167523,-1.0,1.678,10.91,2.229891645183269,True,False
176,2378,150.57951,1.717224,-1.0,1.284,10.07,0.9560242822806772,True,True
177,2380,150.63136,1.7158577,-1.0,1.261,10.35,1.050920836935403,False,False
178,2383,150.63795,1.7170887,-1.0,1.007,9.97,1.170613703377405,True,False
179,2408,150.50714,1.717739,-1.0,1.068,9.8,0.5949447366950833,True,True
180,2416,150.68271,1.7174183,-1.0,0.948,10.07,1.344863649797128,True,False
181,2417,150.40787,1.7161902,-1.0,0.872,10.52,1.3576299719567624,False,True
182,2439,150.6337,1.7170266,-1.0,1.284,10.62,0.5621738633646483,False,False
183,2478,150.61719,1.7187479,-1.0,1.284,10.37,1.2339094534877804,False,True
184,2492,150.66125,1.7189192,-1.0,0.948,10.08,1.0553018643474403,True,True
185,2499,150.61256,1.7173712,-1.0,1.109,11.24,1.4132326863945166,False,False
186,2500,150.62263,1.7197633,-1.0,1.109,10.43,1.3947317804695296,False,True
187,2513,150.65477,1.7201836,-1.0,1.284,10.97,1.999626346051326,False,False
188,2515,150.49706,1.7207888,-1.0,0.817,10.02,0.6558104944952523,False,False
189,2523,150.41946,1.7190267,-1.0,1.007,11.01,1.5774803104132402,False,False
190,2529,150.67232,1.7156992,-1.0,0.628,11.23,1.3849981932623967,False,False
191,2544,150.68317,1.7212713,-1.0,1.377,10.54,1.5382720356482111,True,True
192,2548,150.45227,1.7211547,-1.0,1.449,10.16,1.2982415784964862,False,True
193,2559,150.62384,1.7216711,-1.0,1.109,10.18,0.8369567370595504,False,False
194,2562,150.62517,1.7215505,-1.0,1.498,10.49,1.8591022547631268,False,False
195,2575,150.44501,1.7218235,-1.0,0.948,10.14,1.2406490746206793,False,False
196,2576,150.58823,1.7219594,-1.0,0.711,9.85,0.5952757118020995,True,False
197,2592,150.49385,1.7227591,-1.0,1.9,10.7,0.7371130943059612,False,False
198,2596,150.48082,1.7225113,-1.0,0.835,10.2,-0.1290111862394247,False,False
199,2599,150.48218,1.7224933,-1.0,0.835,10.22,0.7699678013294424,False,False
200,2605,150.47334,1.7218554,-1.0,0.534,9.83,0.5422027824340282,False,False
201,2606,150.62593,1.7226517,-1.0,0.948,9.95,0.7843319480221483,False,True
202,2613,150.621,1.7230211,-1.0,0.948,9.86,1.2914576541492446,True,True
203,2628,150.66223,1.7230648,-1.0,0.549,9.8,0.0565237240791003,False,True
204,2636,150.66943,1.723146,-1.0,0.763,10.1,0.847449262499173,True,False
205,2637,150.58572,1.7231357,-1.0,1.284,10.58,1.702404684814106,False,True
206,2649,150.63741,1.7220283,-1.0,1.152,10.84,1.745465168670727,True,True
207,2652,150.58904,1.722756,-1.0,0.694,10.34,1.4107435004569318,False,False
208,2680,150.58241,1.7245146,-1.0,1.152,10.15,1.1141437496718798,True,True
209,2690,150.39436,1.7231956,-1.0,1.173,11.08,2.028786719903511,True,True
210,2697,150.39449,1.7216882,-1.0,0.928,10.38,1.0203612826477078,False,False
211,2708,150.50529,1.724893,-1.0,1.652,10.59,1.809418293408548,False,False
212,2711,150.66147,1.7246706,-1.0,1.473,10.84,1.8297924811745885,False,True
213,2716,150.41736,1.7249213,-1.0,1.523,10.38,1.8143874533345885,True,True
214,2718,150.66925,1.725382,-1.0,0.746,9.83,1.0164065008711178,False,True
215,2725,150.62338,1.7254801,-1.0,0.853,10.32,1.0762398197750254,False,False
216,2733,150.50394,1.726019,-1.0,1.152,10.03,1.122969094393747,False,False
217,2738,150.49905,1.7244328,-1.0,1.261,11.08,1.979370796634886,False,True
218,2742,150.6474,1.7244865,-1.0,0.853,10.49,1.2560198133801217,False,True
219,2757,150.45419,1.7269545,-1.0,1.815,10.62,1.970909141996384,False,False
220,2763,150.63142,1.72715,-1.0,1.473,10.3,1.70831040020233,False,True
221,2766,150.38315,1.7239451,-1.0,1.958,11.12,2.374412875167394,False,True
