id, O3727_error, O4959_error, O5007_error, Hbeta_error
134501.0,6.5262,7.6573,7.5507,6.4839
134820.0,41.3283,19.8632,21.8509,37.3513
135418.0,17.7433,22.0296,17.2067,15.3217
138718.0,28.6429,20.5603,41.0585,40.1296
138923.0,23.9571,12.8653,16.6289,16.2799
143517.0,18.0002,22.0037,31.5414,16.2424
147029.0,13.4474,12.1307,24.5948,12.8437
147216.0,16.6895,16.3369,22.0981,13.6644
148746.0,28.2839,22.5011,17.9523,19.6943
149055.0,19.6332,11.9474,15.9654,13.5145
151148.0,13.4589,10.3427,15.3755,32.4624
151566.0,25.7602,17.2141,19.1605,42.3672
155731.0,13.7711,10.3161,14.4815,13.646
156603.0,38.0731,17.7215,34.9636,44.9846
157147.0,28.0835,25.7234,39.8766,32.1691
157603.0,13.7076,13.0997,12.6751,11.1021
158230.0,21.5884,26.1223,44.7773,24.2371
159408.0,26.2585,11.6173,14.4135,20.4413
159971.0,22.0052,19.1259,31.1774,18.6195
161439.0,37.3224,12.4917,23.1832,19.612
161465.0,6.5119,4.5284,6.0869,6.9394
161993.0,15.3472,12.8568,20.7078,18.3483
162620.0,24.9074,12.0821,15.358,16.9345
165155.0,109.4559,112.829,256.3168,81.1452
165976.0,35.8858,18.9516,36.6008,24.9628
166155.0,14.8696,14.0111,16.2024,15.5399
166730.0,15.1198,9.565,11.1402,21.993
167583.0,28.4026,42.7887,11.757,44.3153
171911.0,17.2639,28.7197,19.8266,15.5059
173352.0,12.7366,24.797,61.4324,16.3604
180320.0,13.2339,8.246,17.5819,13.8386
180581.0,13.2858,9.9964,13.3252,15.4413
185803.0,54.8313,26.393,23.014,19.2409
188347.0,6.8034,14.0329,10.3481,18.586
189475.0,32.3103,26.6321,22.187,19.6347
191313.0,27.5221,31.6568,25.5834,21.9487
192679.0,15.0179,8.9174,12.5792,17.1332
194188.0,16.9894,9.8511,53.2477,13.3764
196913.0,61.4881,38.6828,74.6494,57.6421
200059.0,29.8867,26.5845,38.0983,21.4654
200633.0,24.6203,14.0523,14.9259,15.1421
201618.0,5.3256,3.9828,5.1092,5.2095
203338.0,27.4765,13.7604,19.0408,14.6356
205196.0,16.7119,9.4423,9.197,13.7786
205906.0,24.3798,15.0222,29.4517,45.3907
206604.0,30.8055,26.8942,66.7321,21.6367
206652.0,15.8319,10.1022,10.7132,12.7142
207034.0,15.1258,9.0941,18.8427,10.7017
207822.0,22.3967,14.144,17.8499,16.9784
208640.0,14.044,14.1926,14.045,26.6943
209031.0,17.6884,5.2199,6.3563,10.2793
209724.0,5.3822,5.1279,8.5594,6.5629
210736.0,32.9929,20.2831,30.6055,21.09
210892.0,42.9069,19.5655,43.5983,17.7662
212566.0,18.0327,9.2972,10.7583,13.9998
215058.0,16.0659,8.2647,8.8611,11.8714
216523.0,17.8806,11.5808,14.8391,12.9698
216580.0,25.8935,22.4696,23.7198,19.1447
220661.0,18.2688,17.5838,17.6788,17.5142
225097.0,13.9865,19.6834,10.6527,11.9893
225997.0,16.9681,8.3268,13.5207,20.2786
226418.0,12.7874,8.5445,12.6554,12.1628
226481.0,19.7565,15.3675,14.6553,21.178
226778.0,16.15,9.451,12.7252,12.6669
228279.0,22.7768,15.8443,14.7226,15.0621
228931.0,27.0435,24.9958,28.7176,21.4723
230481.0,33.8968,21.9678,33.3451,31.5648
231274.0,36.9537,25.5285,46.9685,24.5843
231573.0,5.6358,4.1167,6.5235,4.2086
234911.0,13.6386,8.1617,28.9465,12.8645
235128.0,10.2141,7.8531,17.2543,10.4993
239335.0,21.7681,18.8,24.8785,23.1117
240419.0,24.9438,10.2814,16.6989,15.8423
240675.0,33.664,40.4531,29.6838,29.0263
241820.0,34.9462,25.5402,36.2071,33.9354
245411.0,50.4821,46.8246,48.0094,57.3693
246882.0,18.664,18.8742,19.2936,16.9263
246902.0,34.3259,18.654,28.3137,23.5179
246995.0,26.4777,21.8318,23.6116,26.5507
247554.0,29.7713,15.7086,16.136,18.7794
249357.0,30.5406,19.1672,21.1638,24.2323
254580.0,17.0962,29.0808,63.8798,25.9546
255749.0,19.0883,16.0292,20.9133,21.227
256221.0,13.7858,9.7736,13.6211,18.9392
256256.0,20.0632,14.0712,13.9986,12.2285
257293.0,22.6531,9.6756,24.1565,12.5171
257577.0,38.1343,15.0344,21.1058,33.7228
261337.0,24.6057,18.4743,28.8605,25.9206
